,azadicarboxylate_SMILES_index,phosphine_SMILES_index,solvent_SMILES_index,substrate_concentration_index,azadicarb_equiv_index,phos_equiv_index,temperature_index,yield
126499,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC#N,0.2,1.9,1.9,45,85.99442251
127499,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC(OCC)=O,0.2,1.9,1.9,45,97.43562686
123999,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CCCCP(CCCC)CCCC,CC#N,0.2,1.9,1.9,45,88.20464898
125874,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.15,1.9,1.9,45,98.53148093
6499,CC(C)(OC(/N=N/C(OC(C)(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC#N,0.2,1.9,1.9,45,42.40620902
125997,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.9,1.9,25,98.78624353
156399,CN(C(/N=N/C(N(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC#N,0.2,1.1,1.9,45,87.11560655
125899,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.1,1.9,45,85.59132029
5999,CC(C)(OC(/N=N/C(OC(C)(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.9,1.9,45,63.14070573
156374,CN(C(/N=N/C(N(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC#N,0.15,1.9,1.9,45,98.74764001
